,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,MILEAGE_KM,MANUFACTURED_YEAR,TRANSMISSION,OMV,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
1,3,215388.0,20270.0,12000.0,2020,0,56927.0,39500.0,3191.0,1998.0,1470.0,2.0,1
2,31,147777.0,15950.0,40000.0,2019,0,26008.0,33520.0,3043.0,1595.0,1435.0,1.0,4
3,29,68888.0,11100.0,63000.0,2017,0,19513.0,50526.0,1922.0,1998.0,1535.0,1.0,2
5,20,50800.0,9120.0,133000.0,2016,0,14626.0,50951.0,1735.0,1591.0,1295.0,2.0,3
6,26,74388.0,15320.0,87000.0,2016,0,22821.0,56089.0,1583.0,1499.0,1115.0,1.0,0
8,48,70800.0,12350.0,96938.0,2016,0,29296.0,56089.0,1582.0,2494.0,1475.0,2.0,1
12,32,17000.0,7850.0,118000.0,2009,0,13556.0,13088.0,768.0,1584.0,1162.0,3.0,3
13,2,60888.0,12830.0,78578.0,2016,0,22584.0,47020.0,1527.0,1395.0,1310.0,2.0,1
15,49,99800.0,10470.0,28000.0,2020,0,19882.0,38504.0,3106.0,1395.0,1270.0,2.0,0
20,16,91800.0,10290.0,23900.0,2019,0,18277.0,32699.0,2929.0,1353.0,1240.0,2.0,0
23,50,80100.0,11280.0,46700.0,2017,0,23530.0,38200.0,1860.0,1498.0,1454.0,2.0,0
26,26,179000.0,20720.0,13800.0,2019,0,40573.0,42564.0,2708.0,1998.0,1255.0,2.0,5
28,2,197800.0,26310.0,47000.0,2017,0,62990.0,48109.0,1825.0,2995.0,1945.0,2.0,4
29,48,56800.0,11480.0,65000.0,2015,0,19589.0,45000.0,1493.0,1598.0,1205.0,2.0,3
31,14,119800.0,11520.0,98.0,2021,0,23709.0,60761.0,3316.0,1496.0,1250.0,1.0,4
33,47,73800.0,8600.0,110000.0,2010,0,15132.0,33140.0,3108.0,1586.0,1090.0,5.0,0
34,29,175800.0,17100.0,7392.0,2020,0,41185.0,39000.0,3196.0,1998.0,1137.0,1.0,5
35,14,64500.0,12150.0,88000.0,2016,0,19641.0,55200.0,1619.0,1597.0,1249.0,2.0,3
37,48,48000.0,9820.0,60253.0,2015,0,13725.0,45504.0,1527.0,1497.0,1045.0,3.0,3
38,4,244800.0,267860.0,115000.0,2012,0,182849.0,85216.0,185.0,3993.0,2295.0,4.0,5
39,2,93800.0,15880.0,52072.0,2017,0,32091.0,53300.0,1826.0,1395.0,1450.0,1.0,1
40,44,65800.0,9490.0,20000.0,2017,0,16755.0,36810.0,2197.0,999.0,1299.0,2.0,0
41,31,83800.0,17980.0,110000.0,2014,0,46713.0,77600.0,1157.0,1991.0,1680.0,3.0,1
42,49,108880.0,11890.0,55000.0,2011,0,25916.0,47316.0,3320.0,1984.0,1648.0,4.0,4
47,14,70888.0,9650.0,44188.0,2019,0,15949.0,28199.0,2556.0,1318.0,1052.0,1.0,0
53,29,63800.0,10310.0,62981.0,2017,0,14937.0,45201.0,2066.0,1496.0,1310.0,1.0,3
54,3,206800.0,20010.0,17262.0,2020,0,53590.0,40989.0,3132.0,1998.0,1540.0,1.0,1
55,31,86800.0,18870.0,88000.0,2014,0,46713.0,77600.0,1160.0,1991.0,1680.0,1.0,1
56,14,97800.0,11190.0,31178.0,2019,0,23125.0,31917.0,2766.0,1496.0,1200.0,1.0,4
60,14,71800.0,11370.0,32000.0,2017,0,21116.0,42339.0,2103.0,1496.0,1190.0,1.0,4
61,35,119000.0,11760.0,5000.0,2021,0,24856.0,48000.0,3504.0,1199.0,1320.0,1.0,3
63,31,81800.0,16570.0,60000.0,2015,0,29600.0,45000.0,1468.0,1595.0,1460.0,2.0,6
64,48,95000.0,10750.0,120500.0,2010,0,26554.0,40714.0,3199.0,2694.0,1705.0,6.0,4
67,3,140800.0,28660.0,77560.0,2014,0,68781.0,75002.0,1161.0,2979.0,2025.0,2.0,4
68,31,32800.0,22380.0,134000.0,2012,0,30160.0,59004.0,274.0,1595.0,1485.0,3.0,1
71,19,84800.0,12240.0,37698.0,2017,0,25044.0,53711.0,2099.0,1368.0,1395.0,1.0,4
73,38,535888.0,102220.0,19800.0,2015,0,194027.0,59889.0,1305.0,3800.0,1670.0,2.0,5
75,31,88888.0,15280.0,53467.0,2016,0,25411.0,48209.0,1833.0,1595.0,1395.0,3.0,0
76,48,36998.0,8250.0,115882.0,2011,0,11356.0,23179.0,1613.0,1497.0,1095.0,3.0,3
78,3,183688.0,16050.0,200.0,2021,0,40893.0,83889.0,3290.0,1499.0,1435.0,1.0,4
81,31,36800.0,8660.0,163000.0,2006,0,52792.0,46048.0,1529.0,1796.0,1530.0,1.0,1
88,3,295800.0,36020.0,59000.0,2017,0,108682.0,42661.0,1831.0,4395.0,2275.0,1.0,4
89,48,176800.0,20150.0,20200.0,2018,0,50347.0,48010.0,2623.0,2493.0,2030.0,1.0,2
90,38,393800.0,39850.0,31097.0,2019,0,98993.0,36000.0,2590.0,2995.0,2030.0,1.0,4
91,31,173800.0,17370.0,10500.0,2020,0,33545.0,37690.0,2925.0,1332.0,1410.0,1.0,1
92,26,59800.0,14240.0,70660.0,2015,0,20317.0,56989.0,1373.0,1198.0,1175.0,2.0,0
93,48,9800.0,12290.0,180000.0,2007,0,24702.0,25925.0,276.0,1998.0,1540.0,4.0,2
100,41,700000.0,77780.0,3100.0,2011,0,323461.0,45586.0,2956.0,6592.0,2360.0,1.0,1
101,48,65800.0,9950.0,34000.0,2017,0,13876.0,41400.0,1832.0,1496.0,1085.0,1.0,3
104,29,43800.0,13270.0,118000.0,2014,0,18190.0,66751.0,764.0,1998.0,1438.0,2.0,1
109,3,197777.0,57070.0,90000.0,2012,0,116821.0,93889.0,366.0,4395.0,1850.0,4.0,5
110,14,56888.0,10040.0,88500.0,2016,0,19198.0,50101.0,1888.0,1496.0,1130.0,3.0,6
111,31,213000.0,29440.0,54000.0,2016,0,87391.0,53001.0,1828.0,2996.0,2220.0,4.0,4
112,49,101888.0,18470.0,80000.0,2015,0,28472.0,53001.0,1674.0,1984.0,1370.0,2.0,5
114,49,28800.0,8500.0,130000.0,2010,0,15201.0,16438.0,1224.0,1390.0,1129.0,6.0,0
118,29,53800.0,9280.0,80000.0,2017,0,17731.0,42801.0,1950.0,1496.0,1068.0,1.0,0
123,29,117500.0,13810.0,38000.0,2019,0,23921.0,39889.0,2742.0,1998.0,1515.0,2.0,1
126,32,77800.0,8380.0,7000.0,2021,0,14956.0,41001.0,2951.0,1193.0,945.0,1.0,3
127,31,184888.0,26310.0,72947.0,2016,0,89948.0,56000.0,1612.0,2996.0,1940.0,4.0,1
128,31,118228.0,38110.0,75000.0,2014,0,52029.0,70002.0,796.0,1991.0,1585.0,3.0,5
129,48,14300.0,8320.0,112000.0,2008,0,16084.0,14835.0,612.0,1598.0,1195.0,4.0,3
133,3,77888.0,12570.0,99800.0,2008,0,82410.0,38712.0,2259.0,2996.0,1540.0,2.0,5
139,29,79200.0,11180.0,140000.0,2008,0,38491.0,25525.0,2564.0,1308.0,1407.0,4.0,5
142,48,113800.0,15000.0,43100.0,2018,0,30808.0,37010.0,2318.0,1998.0,1695.0,1.0,4
143,38,388800.0,38550.0,25310.0,2020,0,87560.0,35001.0,3044.0,2995.0,2105.0,1.0,4
146,29,34600.0,11820.0,97000.0,2014,0,18267.0,62000.0,916.0,1496.0,1339.0,2.0,3
147,14,80800.0,8930.0,18000.0,2019,0,15659.0,38504.0,3160.0,1317.0,1030.0,1.0,0
148,31,198000.0,31270.0,68914.0,2015,0,96961.0,61103.0,1128.0,2996.0,1935.0,2.0,1
154,48,13800.0,9090.0,124329.0,2008,0,11834.0,16170.0,550.0,1497.0,1095.0,4.0,3
155,2,189800.0,18330.0,15000.0,2019,0,43622.0,50100.0,2923.0,1984.0,1795.0,1.0,4
158,31,143000.0,24560.0,110000.0,2016,0,52789.0,56089.0,1613.0,1991.0,1735.0,3.0,5
160,14,102988.0,10400.0,652.0,2020,0,16392.0,52709.0,3500.0,1317.0,1070.0,1.0,0
161,48,30800.0,14780.0,109899.0,2013,0,24721.0,62000.0,431.0,1998.0,1445.0,5.0,1
163,44,175000.0,19980.0,35000.0,2019,0,26681.0,32801.0,2927.0,1984.0,1577.0,1.0,3
164,31,76888.0,9080.0,146874.0,2010,0,45292.0,32914.0,3076.0,1796.0,1505.0,2.0,1
165,3,117000.0,20230.0,30000.0,2013,0,48491.0,55100.0,1558.0,1997.0,1670.0,2.0,1
167,3,220000.0,23570.0,97000.0,2010,0,84556.0,53932.0,3383.0,3999.0,1675.0,6.0,5
170,31,173800.0,24580.0,135000.0,2015,0,97869.0,45009.0,1460.0,2996.0,1935.0,2.0,1
176,48,110800.0,10930.0,988.0,2021,0,19097.0,57898.0,3289.0,1490.0,1110.0,1.0,4
