,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
0,https://www.sgcarmart.com/used_cars/info.php?ID=1072545&DL=3648,Mercedes-Benz,77777,8720,08-Mar-2011,,2010,816,Auto,34031,02/03/2022,31893,31893,38137,2929,1597,1500,4,Luxury Sedan
1,https://www.sgcarmart.com/used_cars/info.php?ID=1062000&DL=2725,BMW,215388,20270,14-Dec-2020,12000,2020,1210,Auto,90113,02/03/2022,56927,74469,39500,3191,1998,1470,2,Luxury Sedan
2,https://www.sgcarmart.com/used_cars/info.php?ID=1071270&DL=2689,Mercedes-Benz,147777,15950,16-Jul-2020,40000,2019,740,Auto,49383,02/03/2022,26008,28412,33520,3043,1595,1435,1,SUV
3,https://www.sgcarmart.com/used_cars/info.php?ID=1071491&DL=1027,Mazda,68888,11100,30-Jun-2017,63000,2017,1210,Auto,41340,02/03/2022,19513,19513,50526,1922,1998,1535,1,MPV
4,https://www.sgcarmart.com/used_cars/info.php?ID=1036409&DL=2010,Mercedes-Benz,483988,42950,01-Oct-2021,652,"
Luxury Sedan ",3268,2021,173852,02/03/2022,,,68310,3473,2925,,1,
5,https://www.sgcarmart.com/used_cars/info.php?ID=1075568&DL=2434,Kia,50800,9120,08-Dec-2016,133000,2016,738,Auto,34541,02/03/2022,14626,14626,50951,1735,1591,1295,2,Mid-Sized Sedan
6,https://www.sgcarmart.com/used_cars/info.php?ID=1019509&DL=1027,MINI,74388,15320,26-Jul-2016,87000,2016,684,Auto,34444,02/03/2022,22821,13950,56089,1583,1499,1115,1,Hatchback
7,https://www.sgcarmart.com/used_cars/info.php?ID=1075058&DL=1242,BMW,64800,17560,21-Jul-2014,98000,"
Hatchback ",948,2014,42525,02/03/2022,,,63001,858,647,1315,2,
8,https://www.sgcarmart.com/used_cars/info.php?ID=1067854&DL=1032,Toyota,70800,12350,25-Jul-2016,96938,2016,1792,Auto,47774,02/03/2022,29296,33015,56089,1582,2494,1475,2,Luxury Sedan
9,https://www.sgcarmart.com/used_cars/info.php?ID=1063276&DL=2080,Toyota,57800,8980,08-Aug-2008,,2008,2293,Auto,22528,02/03/2022,26512,19948,34991,2345,2362,1730,,MPV
10,https://www.sgcarmart.com/used_cars/info.php?ID=1074976&DL=3163,Kia,68800,10310,30-Jan-2018,,2017,738,Auto,34310,02/03/2022,15619,15619,38200,1832,1591,1295,2,Mid-Sized Sedan
11,https://www.sgcarmart.com/used_cars/info.php?ID=1072472&DL=1277,Mercedes-Benz,90800,9070,07-Sep-2012,136000,2012,740,Auto,,02/03/2022,31049,31049,,0,1595,1485,4,Luxury Sedan
